date : 01:00 29/11/2022 | % : 1.46% | value : 464.49298004657084$ 
date : 01:00 30/11/2022 | % : 3.59% | value : 464.49298004657084$ 
date : 01:00 01/12/2022 | % : 1.11% | value : 464.49298004657084$ 
date : 01:00 02/12/2022 | % : 0.67% | value : 464.49298004657084$ 
date : 01:00 03/12/2022 | % : 1.23% | value : 464.49298004657084$ 
date : 01:00 04/12/2022 | % : 1.28% | value : 464.49298004657084$ 
date : 01:00 05/12/2022 | % : 0.24% | value : 464.49298004657084$ 
date : 01:00 06/12/2022 | % : 0.72% | value : 464.49298004657084$ 
date : 01:00 07/12/2022 | % : 1.42% | value : 464.49298004657084$ 
date : 01:00 08/12/2022 | % : 2.18% | value : 464.49298004657084$ 
date : 01:00 09/12/2022 | % : 0.56% | value : 464.49298004657084$ 
date : 01:00 10/12/2022 | % : 0.01% | value : 464.49298004657084$ 
date : 01:00 11/12/2022 | % : 0.16% | value : 464.49298004657084$ 
date : 01:00 12/12/2022 | % : 0.31% | value : 464.49298004657084$ 
date : 01:00 13/12/2022 | % : 2.78% | value : 464.49298004657084$ 
date : 01:00 14/12/2022 | % : 0.53% | value : 464.49298004657084$ 
date : 01:00 15/12/2022 | % : 2.58% | value : 464.49298004657084$ 
date : 01:00 16/12/2022 | % : 4.12% | value : 464.49298004657084$ 
date : 01:00 17/12/2022 | % : 0.86% | value : 464.49298004657084$ 
date : 01:00 18/12/2022 | % : 0.11% | value : 464.49298004657084$ 
date : 01:00 19/12/2022 | % : 1.59% | value : 464.49298004657084$ 
date : 01:00 20/12/2022 | % : 2.62% | value : 464.49298004657084$ 
date : 01:00 21/12/2022 | % : 0.42% | value : 464.49298004657084$ 
date : 01:00 22/12/2022 | % : 0.26% | value : 464.49298004657084$ 
date : 01:00 23/12/2022 | % : 0.09% | value : 464.49298004657084$ 
date : 01:00 24/12/2022 | % : 0.34% | value : 464.49298004657084$ 
date : 01:00 25/12/2022 | % : 0.13% | value : 464.49298004657084$ 
date : 01:00 26/12/2022 | % : 0.55% | value : 464.49298004657084$ 
date : 01:00 27/12/2022 | % : 1.15% | value : 464.49298004657084$ 
date : 01:00 28/12/2022 | % : 1.02% | value : 464.49298004657084$ 
date : 01:00 29/12/2022 | % : 0.52% | value : 464.49298004657084$ 
date : 01:00 30/12/2022 | % : 0.50% | value : 464.49298004657084$ 
date : 01:00 31/12/2022 | % : 0.39% | value : 464.49298004657084$ 
date : 01:00 01/01/2023 | % : 0.45% | value : 464.49298004657084$ 
date : 01:00 02/01/2023 | % : 0.60% | value : 464.49298004657084$ 
date : 01:00 03/01/2023 | % : 0.01% | value : 464.49298004657084$ 
date : 01:00 04/01/2023 | % : 1.09% | value : 464.49298004657084$ 
date : 01:00 05/01/2023 | % : 0.11% | value : 464.49298004657084$ 
date : 01:00 06/01/2023 | % : 0.44% | value : 464.49298004657084$ 
date : 01:00 07/01/2023 | % : 0.04% | value : 464.49298004657084$ 
date : 01:00 08/01/2023 | % : 0.78% | value : 464.49298004657084$ 
date : 01:00 09/01/2023 | % : 0.53% | value : 464.49298004657084$ 
date : 01:00 10/01/2023 | % : 1.44% | value : 464.49298004657084$ 
date : 01:00 11/01/2023 | % : 2.52% | value : 464.49298004657084$ 
date : 01:00 12/01/2023 | % : 4.47% | value : 464.49298004657084$ 
date : 01:00 13/01/2023 | % : 5.34% | value : 464.49298004657084$ 
date : 01:00 14/01/2023 | % : 4.93% | value : 464.49298004657084$ 
date : 01:00 15/01/2023 | % : 0.39% | value : 464.49298004657084$ 
date : 01:00 16/01/2023 | % : 1.58% | value : 464.49298004657084$ 
date : 01:00 17/01/2023 | % : -0.10% | value : 464.49298004657084$ 
date : 01:00 18/01/2023 | % : 2.23% | value : 464.49298004657084$ 
date : 01:00 19/01/2023 | % : 1.87% | value : 464.49298004657084$ 
date : 01:00 20/01/2023 | % : 4.91% | value : 464.49298004657084$ 
date : 01:00 21/01/2023 | % : 1.08% | value : 464.49298004657084$ 
date : 01:00 22/01/2023 | % : 0.33% | value : 464.49298004657084$ 
date : 01:00 23/01/2023 | % : 1.07% | value : 464.49298004657084$ 
date : 01:00 24/01/2023 | % : 1.26% | value : 464.49298004657084$ 
date : 01:00 25/01/2023 | % : 2.12% | value : 464.49298004657084$ 
date : 01:00 26/01/2023 | % : 0.22% | value : 464.49298004657084$ 
date : 01:00 27/01/2023 | % : 0.13% | value : 464.49298004657084$ 
date : 01:00 28/01/2023 | % : 0.22% | value : 464.49298004657084$ 
date : 01:00 29/01/2023 | % : 2.26% | value : 464.49298004657084$ 
date : 01:00 30/01/2023 | % : 3.90% | value : 464.49298004657084$ 
date : 01:00 31/01/2023 | % : 1.29% | value : 464.49298004657084$ 
date : 01:00 01/02/2023 | % : 2.44% | value : 464.49298004657084$ 
date : 01:00 02/02/2023 | % : 0.57% | value : 464.49298004657084$ 
date : 01:00 03/02/2023 | % : 0.25% | value : 464.49298004657084$ 
date : 01:00 04/02/2023 | % : 0.45% | value : 464.49298004657084$ 
date : 01:00 05/02/2023 | % : 1.68% | value : 464.49298004657084$ 
date : 01:00 06/02/2023 | % : 0.75% | value : 464.49298004657084$ 
date : 01:00 07/02/2023 | % : 1.98% | value : 464.49298004657084$ 
date : 01:00 08/02/2023 | % : 1.27% | value : 464.49298004657084$ 
date : 01:00 09/02/2023 | % : 4.68% | value : 464.49298004657084$ 
date : 01:00 10/02/2023 | % : 0.80% | value : 464.49298004657084$ 
date : 01:00 11/02/2023 | % : 1.09% | value : 464.49298004657084$ 
date : 01:00 12/02/2023 | % : 0.21% | value : 464.49298004657084$ 
date : 01:00 13/02/2023 | % : 0.46% | value : 464.49298004657084$ 
date : 01:00 14/02/2023 | % : 1.93% | value : 464.49298004657084$ 
date : 01:00 15/02/2023 | % : 6.29% | value : 464.49298004657084$ 
date : 01:00 16/02/2023 | % : 2.28% | value : 464.49298004657084$ 
date : 01:00 17/02/2023 | % : 4.28% | value : 464.49298004657084$ 
